"team","two_pp","thr_pp","mis_p","oreb_p","sf_p","ft_p","tov_p","avg_poss","total"
"Ohio Dominican Panthers",0.181272448564459,0.0647401602015926,0.595609473854652,0.170212765957447,0.0517921281612741,0.75,0.233064576725733,77.2318138297872,112.647878750771
"Ohio State Buckeyes",0.29323170089638,0.10595713566052,0.487613146194297,0.309541839079024,0.147908097065754,0.746924588253008,0.158222695665788,66.7503628017469,119.293277548274
"Oklahoma Sooners",0.276313528716012,0.111199509183489,0.448386537490799,0.299257797375944,0.15674266421188,0.740053580967991,0.185210956816953,67.2556440643744,117.785319641913
"Oklahoma State Cowboys",0.247146339725061,0.12015862568115,0.468224470323083,0.276635131867106,0.141599641953937,0.700942594912863,0.190898639762892,67.4192516621103,116.802771744612
"Old Dominion Monarchs",0.275275040639922,0.0987007679038229,0.516113668371133,0.253534883939988,0.121132967756771,0.657668626893432,0.154540348920762,70.4025403061804,116.576279359241
"Ole Miss Rebels",0.278268227475669,0.112819532619992,0.484964455865884,0.303041101483946,0.152286214792197,0.734363393891728,0.160616424440269,67.0863456521829,118.895485519401
"Omaha Mavericks",0.288609878368974,0.0922546158020566,0.464625933006445,0.248959279166493,0.166399304350128,0.741943575941483,0.147844328354642,67.0639709682064,115.973405988225
"Oral Roberts Golden Eagles",0.248807566530141,0.137314832844917,0.493189560575294,0.214711919878129,0.116537703514466,0.765783495792983,0.142701080583636,67.8108027347182,113.855074404846
"Oregon Ducks",0.295488858489102,0.108216323527852,0.478360017037875,0.279777155704853,0.14114711203743,0.724065118355908,0.149946511795522,67.5909881676079,117.315882288778
"Oregon State Beavers",0.272125481628234,0.0930535436503684,0.464079941898581,0.270860926925837,0.145484204980058,0.737148872117583,0.184049679334749,66.2764942396544,115.879285149199
"Our Lady Of The Lake Saints",0.325637926448654,0.0375736068979217,0.400785140244498,0.166666666666667,0.118983088510085,0.684210526315789,0.212917105754889,79.8432795698925,109.589686785605
"Ozark Christian Ambassadors",0.243814987450699,0.057368232341341,0.544998207242739,0.236842105263158,0.0430261742560057,0.833333333333333,0.258157045536034,69.725,114.736464682682
"Pacific Lutheran Lutes",0.145269900335413,0.112987700260877,0.51651520119258,0.212121212121212,0.129128800298145,0.8125,0.225975400521754,61.9536461388074,112.987700260877
"Pacific Tigers",0.239560154166922,0.0932528169608169,0.478829282309208,0.190050213017509,0.148566245660525,0.642750513352315,0.172126038782969,67.9988130240066,113.233453788044
"Pacific Union",0.17349931421531,0.136320889740601,0.545283558962402,0.0851063829787234,0.0805532530285367,0.384615384615385,0.123928081582364,80.6919615983394,105.958509752921
"Park University Gilbert Buccaneers",0.149657208094503,0.0544208029434556,0.598628832378012,0.108695652173913,0.0612234033113876,0.555555555555556,0.204078011037959,73.5013043478261,106.800825776532
"Paul Quinn Tigers",0.191674778560156,0.106784810042379,0.468211177516084,0.195569050832209,0.0873788977777583,0.576068376068376,0.261460307543642,76.1665675247279,111.550997144002
"Penn State (Brandywine) PSU-BRANDYWINE",0.175472592714754,0.087736296357377,0.451215238409367,0.131578947368421,0.100270052979859,0.875,0.263208889072131,79.7845394736842,107.790306953349
"Penn State (Wilkes-Barre) Mountain Lions",0.243715520873718,0.0524618064928091,0.483392536239611,0.223123123123123,0.102764281296667,0.604545454545455,0.271105820709345,76.4762779142779,115.343996561215
"Penn State Nittany Lions",0.261952228433053,0.112321472808929,0.480462847852906,0.264953468827332,0.150837506006968,0.74505668711445,0.160350715307841,69.1641632101553,116.59247704097
"Penn State-Allegheny Nittany Lions",0.118886994349914,0.0924676622721556,0.515176975516296,0.146341463414634,0.0990724952915953,0.666666666666667,0.277402986816467,75.7021409214092,110.300711424643
"Penn State-New Kensington Lions",0.284588224004024,0.0996058784014084,0.59763527040845,0.209302325581395,0.0426882336006036,0.666666666666667,0.142294112002012,70.276976744186,116.68117184165
"Penn State-Schuylkill",0.23065040378995,0.0461300807579901,0.518963408527388,0.2,0.115325201894975,0.7,0.219117883600453,86.7113157894737,113.018697857076
"Penn State-York Nittany Lions",0.212758161733254,0.066486925541642,0.438813708574837,0.147058823529412,0.146271236191612,0.818181818181818,0.239352931949911,75.2027554179567,110.368296399126
"Pennsylvania Quakers",0.261561594925334,0.143321172734608,0.489024566666962,0.297649729845844,0.121016882061762,0.690362885832945,0.166291091712555,66.4911487642986,118.121530810122
"Pepperdine Waves",0.293961929687601,0.0991667031186375,0.476405778568763,0.291263048120564,0.144131691776789,0.692432072307192,0.165311050067729,66.9239491877413,117.897715321952
"Pfeiffer Falcons",0.21775546014721,0.0749767438407092,0.503559501590424,0.298936835522201,0.135603944931584,0.5625,0.264772944978884,73.5010506643434,119.666859548881
"Piedmont Lions",0.232850084519391,0.142297273872961,0.491572400652047,0.268292682926829,0.148765331776277,0.739130434782609,0.129361158066328,77.3029566948731,114.4846248887
"Pittsburgh - Greensburg Bobcats",0.172392085715083,0.125376062338242,0.51717625714525,0.342857142857143,0.172392085715083,0.772727272727273,0.250752124676485,63.8080336134454,123.808861559014
"Pittsburgh Panthers",0.255535518423025,0.14665688228334,0.520873468905714,0.307295659228729,0.139866886087179,0.719540191822664,0.13662651251611,65.6629574462618,119.955926821537
"Plattsburgh St Cardinals",0.174554180495215,0.0793428093160069,0.618873912664854,0.170731707317073,0.0872770902476076,0.363636363636364,0.174554180495215,63.0176829268293,113.46021732189
"Point Loma Nazarene Sea Lions",0.123179041448389,0.138576421629437,0.631292587422993,0.214285714285714,0.0692882108147187,0.888888888888889,0.184768562172583,64.9461134453781,114.710482348812
"Point Park Pioneers",0.195129938800156,0.0900599717539179,0.630419802277426,0.204545454545455,0.127584959984717,0.705882352941177,0.120079962338557,66.6222727272727,116.327463515477
"Portland Bible Arrows",0.173055435180834,0.0432638587952086,0.749906885783616,0.26530612244898,0.0144212862650695,0.5,0.245161866506182,69.341942294159,122.580933253091
"Portland Pilots",0.237746173718981,0.130563245079488,0.477547195121079,0.242868075243379,0.129095443842369,0.70969900862706,0.17442691152091,67.9178581701323,114.937896928283
"Portland State Vikings",0.259559139357171,0.109053347633365,0.518497420445313,0.298599472651421,0.148057730687336,0.690279243364404,0.164489112995579,68.6913796214962,119.965675111876
"Prairie View A&M Panthers",0.281749123190064,0.0677214876028757,0.481566999191725,0.266436528703316,0.153303381063502,0.715500030995654,0.179172188641508,71.0999910814548,116.351317968968
"Presbyterian Blue Hose",0.30383749601154,0.0939280587955512,0.446450706647683,0.273996794601112,0.155533954810623,0.658959291162566,0.166760268187523,68.2928776632266,116.651048445292
"Princeton Tigers",0.253260501612319,0.163446561517442,0.490411412140106,0.252431896268119,0.125556172022942,0.793126483379994,0.126578350093543,64.415070940835,115.925299738635
"Providence Friars",0.25188259347854,0.122854798385276,0.473558733386719,0.264805981030975,0.134498173573336,0.733591449312225,0.179432674496835,67.7471697681508,116.222697332071
"Purdue Boilermakers",0.301709283525287,0.120569047731365,0.444329094664321,0.372440247478794,0.176596634681538,0.729070566889377,0.168385854134929,67.4093842782072,121.158991473744
"Purdue Fort Wayne Mastodons",0.272438813554419,0.132625255060319,0.464030910154996,0.232087641153348,0.126684882168827,0.710760427711691,0.145359110400069,71.3847297608871,114.113897133863
"Queens College NY Knights",0.1737252021131,0.106907816684984,0.48108517508243,0.136363636363636,0.146998247941854,0.5,0.187088679198723,74.8308238636364,109.580512102109
"Queens University Royals",0.26572110789764,0.122779355357732,0.489263639560597,0.287211384506539,0.145847903011669,0.708477631410136,0.157740295376359,72.2762969698995,118.1352301204
"Quinnipiac Bobcats",0.287395003285917,0.106617348389247,0.482666809630459,0.312623759963477,0.134824688310484,0.771601430680715,0.174887749219347,70.1090825346009,118.639159883545
"Radford Highlanders",0.295457538332265,0.111511541504544,0.485129257967907,0.305247579731586,0.125704546870729,0.745628920104715,0.166604392269304,64.8341362322589,118.440727694475
"Regent Royals",0.16071892579252,0.0207876153576062,0.518556704405103,0.177937915742794,0.123592012610585,0.4875,0.307889552294876,74.1596855752648,113.154481046069
"Reinhardt Eagles",0.13841117472558,0.0814645282342905,0.546722676272694,0.318383167220377,0.0844311093612734,0.75,0.33421251921815,73.147135989011,118.524200781199
